id,title,description,price,area_m2,price_per_m2,region,district,ward,street,lat,lng,property_type,category,post_time,images
129511936,"🇻🇳 CHUNG CƯ GIA THỤY -CĂN GÓC-86M2-3N+2WC-6,5TY(TL)","♥️ CĂN GÓC SIÊU ĐẸP TRUNG TÂM GIA THỤY ,LONG BIÊN.
♦️ Toạ lạc tại 562 Nguyễn Văn Cừ, vị trí trung tâm phường Gia Thụy. View trực diện trường tiểu học Giả Thụy, gần trường THCS Gia Thụy UBND phường , khu vực dân trí cao, an ninh tuyệt đối . 
⭐ Với DT 86m2, 3 ngủ + 2WC . Phòng khách rộng, ánh sáng thoáng, tự nhiên. Gia chủ ở rất có lộc, chuyển nhượng là trao tay Tài Lộc . Nội thất cơ bản đầy đủ chỉ việc xác valy về ở. 
📕 Sổ đỏ pháp lý chuẩn + giao dịch ngay 
🔥 Quý Anh Chị quan tâm nhanh tay bấm máy 24/7. Mr Tùng luôn lắng nghe luôn thấu hiểu những băn khoăn của Quý Anh, Chị",6500000000,81,80246913.58024691,Hà Nội,Quận Long Biên,Phường Gia Thụy,562 Nguyễn Văn Cừ,21.048956,105.886284,,1010,1765075380000,4
129114625,"Cho thuê nhà ngõ 345 Khương Trung, Thanh Xuân.","Cho thuê nhà ngõ 345 Khương Trung, Thanh Xuân.
- Diện tích 35m2*4 tầng, 2 phòng ngủ 3wc full đồ
-  Nhà đầy đủ nội thất: tủ lạnh, máy giặt, máy sấy, máy rửa bát, cây nước nóng lạnh, 2 giường, tủ, bàn làm việc, 3 điều hòa hai chiều, bình nóng lạnh, hệ tủ 3 tầng.
- Giá thuê: 11 triệu/tháng.
Liên hệ",11000000,77,142857.14285714287,Hà Nội,Quận Thanh Xuân,Phường Hạ Đình,Phố Khương Trung,20.992592,105.81717,,1020,1765074449000,5
129512960,"Chính chủ gửi bán nhanh nhà 35m, nhỉnh 6 tỷ, gần hồ điều hòa Định công","HIẾM! Trong phân khúc tầm tiền có 1 không 2
👉NHÀ DÂN XÂY CHẮC CHẮN 4 TẦNG KCBT - NHÀ MẶT NGÕ THÔNG - 2 THOÁNG TRƯỚC SAU, CÓ THỂ KINH DOANH NHỎ, (ONLINE)
👉DT 35m, full công năng 
👉Giá nhỉnh 6.88tỷ
📕 Sổ đỏ sẵn giao dịch 
🌿Tiện ích xung quanh không thiếu thứ gì, chợ, trường học các cấp vài bước chân,
👉 50m ra hồ điều hoà lộng gió thoáng mát, tập thể thao
LH ngay Em Duyên xem nhà gặp chủ",6880000000,80,86000000.0,Hà Nội,Quận Hoàng Mai,Phường Định Công,Phố Định Công,20.983276,105.83594,,1020,1765071241000,4
129499139,"Ô TÔ 7 CHỖ NGỦ TRONG NHÀ,CÓ THỂ LÀM THANG MÁY-MẶT NGÕ OTO TRÁNH","Chủ nhà là Đại tá quân đội về hưu,đất phân lô cán bộ, pháp lý sạch,1 chủ từ khi xây đến nay.nhà có thể thiết kế thêm thang máy.
cơ hội hiếm có khó tìm.các bác ib e để xem nhà trực tiếp",19000000000,77,246753246.75324675,Hà Nội,Quận Thanh Xuân,Phường Khương Trung,Phố Tô Vĩnh Diện,20.999704,105.820984,,1020,1765073880000,7
128613379,Cho thuê nhà 3tx60m2 Lĩnh Nam ô tô tải nhỏ đỗ cửa,"Cho thuê nhà 3tx60m2 Lĩnh Nam
Vị trí Ô tô tải nhỏ đỗ cửa gần Tam Trinh , Mai Động , Lĩnh Nam
Thiết kê Tầng 1 phòng khách bếp hai mặt ngõ
Tầng 2 Hai phòng ngủ
Tầng 3 Một phòng ngủ 
Giá 6 tr Thanh toán 3 cọc 2 
Liên hệ trực tiếp",6000000,80,75000.0,Hà Nội,Quận Hoàng Mai,Phường Lĩnh Nam,Đường Lĩnh Nam,20.979588,105.88912,,1020,1765070943000,3
128297477,BÁN NHÀ NGUYỄN LƯƠNG BẰNG - 30M x3 TẦNG - VỊ TRÍ ĐẸP GIÁ TỐT,"CÁCH 50m ra mặt phố - Ngõ ba gác - Trc nha rộng 3m5 - Giá tốt

Nhà 3 tầng cũ, 2 ngủ sẵn, có thể sửa thành 3 ngủ. 

Sổ đỏ chính chủ sang tên ngay.",6700000000,75,89333333.33333333,Hà Nội,Quận Đống Đa,Phường Nam Đồng,Phố Nguyễn Lương Bằng,21.017927,105.829636,,1020,1765070761000,4
129524737,THƯỢNG CÁT- ĐẤT MẶT NGÕ THÔNG- Ô TÔ 16 CHỖ ĐỖ CỬA – GIÁ ĐẦU TƯ,"THƯỢNG CÁT- ĐẤT MẶT NGÕ THÔNG- Ô TÔ 16 CHỖ ĐỖ CỬA – GIÁ ĐẦU TƯ
-Diện tích 46m – mt 3,8m – giá 3,8 tỷ .
-Vị trí: Do cần vốn kinh doanh cần bán gấp mảnh đât mặt ngõ, thông, ô tô 16 chỗ đỗ cửa, dự án cầu Thượng Cát đang triển khai tiềm năng tăng giá mạnh
-Sổ đỏ chính chủ; giao dịch ngay
-LH sđt: *** – Mr Xuân.",3800000000,129,29457364.34108527,Hà Nội,Quận Bắc Từ Liêm,Phường Thượng Cát,Đường Đống Ba,21.095383,105.731476,,1040,1765070713000,3
129486855,Bán nhà phố Hồng Mai-Lô Góc-Ô tô tránh,"🔥 BÁN NHÀ LÔ GÓC –  CÁCH ĐƯỜNG LỚN CHỈ 10M – Ô TÔ TRÁNH – #BẠCHMAI _ Giá #6ty85 
Nhà 5 tầng x 3PN_ MT rộng hơn 3m, cực đẹp, thoáng 

💎 Vị trí vàng 
Nhà nằm ở lô góc thoáng sáng 2 mặt, cách đường lớn chỉ 10m, bước vài bước chân là ô tô tránh, giao thông cực kỳ thuận tiện. Khu vực dân trí cao, an ninh tốt

#SỔ #ĐỎ #CHÍNH #CHỦ",6850000000,76,90131578.94736843,Hà Nội,Quận Hai Bà Trưng,Phường Bạch Mai,Phố Hồng Mai,20.998636,105.85159,,1020,1765070103000,4
129505288,"Bán nhà riêng phố Nguyễn Đình Chiểu, Hai Bà Trưng 100m2, MT 8m, giá 25","Chính chủ bán nhà riêng phố Nguyễn Đình Chiểu quận Hai Bà Trưng thành phố Hà Nội 100m2, mặt tiền 8m, giá 25 tỷ. 
- Vị trí trung tâm quận Hai Bà Trưng giao thông tiện lợi Nguyễn Đình Chiểu, Đại Cồ Việt, tiếp giáp Công Viên Thống Nhất vị trí đắc địa vừa ở vừa kinh doanh cho thuê.
- Sổ đỏ chính chủ, đất vuông.
- Giá bán 25 tỷ. LH ***.",25000000000,76,328947368.42105263,Hà Nội,Quận Hai Bà Trưng,Phường Lê Đại Hành,Phố Nguyễn Đình Chiểu,21.015213,105.84721,,1020,1765071302000,3
128785923,"NHÀ MỚI LA PHÙ 5T 3PN NGAY SAU KĐT GLEXIMCO D, GẦN AEON HĐ, GIÁ 4.5TỶ!","NHÀ MỚI LA PHÙ 5T 3PN NGAY SAU KĐT GLEXIMCO D, GẦN AEON HĐ, GIÁ 4.5TỶ!

✅ Vị trí: nhà thuộc Hoa Thám La Phù, ngay sau kđt Gleximco D, cách Lê Trọng Tấn 600m, ra Aeon Mall Hà Đông chỉ vài phút. Rất thuận tiện với anh chị đang làm việc khu vực Cầu Giấy, Mỹ Đình, Từ Liêm, Thanh Xuân, Ba Đình ...

✅ Thông số nhà:
DT: 32m²;
T1: P khách + bếp + wc.
T2 + 3+4: 3P ngủ + 3 wc.
T5: P thờ + sân phơi.

* Sổ đỏ chính chủ, sẵn sàng giao dịch
* Giá bán 4.5 tỷ+ CTL, có hỗ trợ vay NH với lãi suất thấp.

LH em để xem nhà và hỗ trợ zalo/call: ***",4500000000,89,50561797.75280899,Hà Nội,Huyện Hoài Đức,Xã An Khánh,Đường La Phù,20.985338,105.730606,,1020,1765065892000,4
