time,temperature_c
2025-11-22T00:00,15.2
2025-11-22T01:00,18.1
2025-11-22T02:00,20.7
2025-11-22T03:00,22.4
2025-11-22T04:00,23.1
2025-11-22T05:00,23.7
2025-11-22T06:00,24.3
2025-11-22T07:00,24.2
2025-11-22T08:00,24.0
2025-11-22T09:00,23.4
2025-11-22T10:00,22.3
2025-11-22T11:00,21.1
2025-11-22T12:00,20.8
2025-11-22T13:00,20.0
2025-11-22T14:00,19.8
2025-11-22T15:00,18.3
2025-11-22T16:00,17.7
2025-11-22T17:00,17.5
2025-11-22T18:00,18.2
2025-11-22T19:00,17.8
2025-11-22T20:00,17.0
2025-11-22T21:00,16.4
2025-11-22T22:00,15.8
2025-11-22T23:00,15.2
2025-11-23T00:00,15.2
2025-11-23T01:00,17.7
2025-11-23T02:00,20.3
2025-11-23T03:00,22.0
2025-11-23T04:00,23.0
2025-11-23T05:00,23.7
2025-11-23T06:00,24.2
2025-11-23T07:00,24.3
2025-11-23T08:00,24.1
2025-11-23T09:00,23.7
2025-11-23T10:00,22.5
2025-11-23T11:00,21.3
2025-11-23T12:00,20.6
2025-11-23T13:00,19.9
2025-11-23T14:00,19.3
2025-11-23T15:00,18.8
2025-11-23T16:00,18.3
2025-11-23T17:00,18.0
2025-11-23T18:00,17.9
2025-11-23T19:00,17.7
2025-11-23T20:00,17.4
2025-11-23T21:00,17.4
2025-11-23T22:00,17.6
2025-11-23T23:00,17.5
