city,latitude,longitude,time,temperature_c
Hải Phòng,20.86514,106.6823,2025-12-07T00:00,18.5
Hải Phòng,20.86514,106.6823,2025-12-07T01:00,18.8
Hải Phòng,20.86514,106.6823,2025-12-07T02:00,18.6
Hải Phòng,20.86514,106.6823,2025-12-07T03:00,18.8
Hải Phòng,20.86514,106.6823,2025-12-07T04:00,18.9
Hải Phòng,20.86514,106.6823,2025-12-07T05:00,18.9
Hải Phòng,20.86514,106.6823,2025-12-07T06:00,19.1
Hải Phòng,20.86514,106.6823,2025-12-07T07:00,19.3
Hải Phòng,20.86514,106.6823,2025-12-07T08:00,20.1
Hải Phòng,20.86514,106.6823,2025-12-07T09:00,21.3
Hải Phòng,20.86514,106.6823,2025-12-07T10:00,22.4
Hải Phòng,20.86514,106.6823,2025-12-07T11:00,23.3
Hải Phòng,20.86514,106.6823,2025-12-07T12:00,23.8
Hải Phòng,20.86514,106.6823,2025-12-07T13:00,25.1
Hải Phòng,20.86514,106.6823,2025-12-07T14:00,25.3
Hải Phòng,20.86514,106.6823,2025-12-07T15:00,24.9
Hải Phòng,20.86514,106.6823,2025-12-07T16:00,23.8
Hải Phòng,20.86514,106.6823,2025-12-07T17:00,22.5
Hải Phòng,20.86514,106.6823,2025-12-07T18:00,21.3
Hải Phòng,20.86514,106.6823,2025-12-07T19:00,20.6
Hải Phòng,20.86514,106.6823,2025-12-07T20:00,20.1
Hải Phòng,20.86514,106.6823,2025-12-07T21:00,20.0
Hải Phòng,20.86514,106.6823,2025-12-07T22:00,20.1
Hải Phòng,20.86514,106.6823,2025-12-07T23:00,20.2
Hải Phòng,20.86514,106.6823,2025-12-08T00:00,20.1
Hải Phòng,20.86514,106.6823,2025-12-08T01:00,20.0
Hải Phòng,20.86514,106.6823,2025-12-08T02:00,19.8
Hải Phòng,20.86514,106.6823,2025-12-08T03:00,19.2
Hải Phòng,20.86514,106.6823,2025-12-08T04:00,18.7
Hải Phòng,20.86514,106.6823,2025-12-08T05:00,18.5
Hải Phòng,20.86514,106.6823,2025-12-08T06:00,18.5
Hải Phòng,20.86514,106.6823,2025-12-08T07:00,18.8
Hải Phòng,20.86514,106.6823,2025-12-08T08:00,20.2
Hải Phòng,20.86514,106.6823,2025-12-08T09:00,22.0
Hải Phòng,20.86514,106.6823,2025-12-08T10:00,23.4
Hải Phòng,20.86514,106.6823,2025-12-08T11:00,24.6
Hải Phòng,20.86514,106.6823,2025-12-08T12:00,25.4
Hải Phòng,20.86514,106.6823,2025-12-08T13:00,25.8
Hải Phòng,20.86514,106.6823,2025-12-08T14:00,26.0
Hải Phòng,20.86514,106.6823,2025-12-08T15:00,25.7
Hải Phòng,20.86514,106.6823,2025-12-08T16:00,25.0
Hải Phòng,20.86514,106.6823,2025-12-08T17:00,23.4
Hải Phòng,20.86514,106.6823,2025-12-08T18:00,22.1
Hải Phòng,20.86514,106.6823,2025-12-08T19:00,21.3
Hải Phòng,20.86514,106.6823,2025-12-08T20:00,20.8
Hải Phòng,20.86514,106.6823,2025-12-08T21:00,20.4
Hải Phòng,20.86514,106.6823,2025-12-08T22:00,20.0
Hải Phòng,20.86514,106.6823,2025-12-08T23:00,19.8
Hải Phòng,20.86514,106.6823,2025-12-09T00:00,19.7
Hải Phòng,20.86514,106.6823,2025-12-09T01:00,19.2
Hải Phòng,20.86514,106.6823,2025-12-09T02:00,18.0
Hải Phòng,20.86514,106.6823,2025-12-09T03:00,17.5
Hải Phòng,20.86514,106.6823,2025-12-09T04:00,17.1
Hải Phòng,20.86514,106.6823,2025-12-09T05:00,16.9
Hải Phòng,20.86514,106.6823,2025-12-09T06:00,16.7
Hải Phòng,20.86514,106.6823,2025-12-09T07:00,16.9
Hải Phòng,20.86514,106.6823,2025-12-09T08:00,18.7
Hải Phòng,20.86514,106.6823,2025-12-09T09:00,20.9
Hải Phòng,20.86514,106.6823,2025-12-09T10:00,22.7
Hải Phòng,20.86514,106.6823,2025-12-09T11:00,24.0
Hải Phòng,20.86514,106.6823,2025-12-09T12:00,24.8
Hải Phòng,20.86514,106.6823,2025-12-09T13:00,25.3
Hải Phòng,20.86514,106.6823,2025-12-09T14:00,25.5
Hải Phòng,20.86514,106.6823,2025-12-09T15:00,25.1
Hải Phòng,20.86514,106.6823,2025-12-09T16:00,24.2
Hải Phòng,20.86514,106.6823,2025-12-09T17:00,22.7
Hải Phòng,20.86514,106.6823,2025-12-09T18:00,21.0
Hải Phòng,20.86514,106.6823,2025-12-09T19:00,19.9
Hải Phòng,20.86514,106.6823,2025-12-09T20:00,19.2
Hải Phòng,20.86514,106.6823,2025-12-09T21:00,18.7
Hải Phòng,20.86514,106.6823,2025-12-09T22:00,18.6
Hải Phòng,20.86514,106.6823,2025-12-09T23:00,18.6
Hải Phòng,20.86514,106.6823,2025-12-10T00:00,18.6
Hải Phòng,20.86514,106.6823,2025-12-10T01:00,18.4
Hải Phòng,20.86514,106.6823,2025-12-10T02:00,18.1
Hải Phòng,20.86514,106.6823,2025-12-10T03:00,16.8
Hải Phòng,20.86514,106.6823,2025-12-10T04:00,15.8
Hải Phòng,20.86514,106.6823,2025-12-10T05:00,15.7
Hải Phòng,20.86514,106.6823,2025-12-10T06:00,15.5
Hải Phòng,20.86514,106.6823,2025-12-10T07:00,15.7
Hải Phòng,20.86514,106.6823,2025-12-10T08:00,17.7
Hải Phòng,20.86514,106.6823,2025-12-10T09:00,20.0
Hải Phòng,20.86514,106.6823,2025-12-10T10:00,22.4
Hải Phòng,20.86514,106.6823,2025-12-10T11:00,24.2
Hải Phòng,20.86514,106.6823,2025-12-10T12:00,24.9
Hải Phòng,20.86514,106.6823,2025-12-10T13:00,25.1
Hải Phòng,20.86514,106.6823,2025-12-10T14:00,25.5
Hải Phòng,20.86514,106.6823,2025-12-10T15:00,25.3
