city,latitude,longitude,time,temperature_c
Hồ Chí Minh,10.76262,106.6822,2025-12-07T00:00,24.4
Hồ Chí Minh,10.76262,106.6822,2025-12-07T01:00,24.2
Hồ Chí Minh,10.76262,106.6822,2025-12-07T02:00,23.7
Hồ Chí Minh,10.76262,106.6822,2025-12-07T03:00,23.3
Hồ Chí Minh,10.76262,106.6822,2025-12-07T04:00,22.9
Hồ Chí Minh,10.76262,106.6822,2025-12-07T05:00,22.5
Hồ Chí Minh,10.76262,106.6822,2025-12-07T06:00,21.8
Hồ Chí Minh,10.76262,106.6822,2025-12-07T07:00,22.3
Hồ Chí Minh,10.76262,106.6822,2025-12-07T08:00,23.6
Hồ Chí Minh,10.76262,106.6822,2025-12-07T09:00,25.4
Hồ Chí Minh,10.76262,106.6822,2025-12-07T10:00,27.1
Hồ Chí Minh,10.76262,106.6822,2025-12-07T11:00,28.4
Hồ Chí Minh,10.76262,106.6822,2025-12-07T12:00,29.4
Hồ Chí Minh,10.76262,106.6822,2025-12-07T13:00,30.6
Hồ Chí Minh,10.76262,106.6822,2025-12-07T14:00,31.0
Hồ Chí Minh,10.76262,106.6822,2025-12-07T15:00,30.9
Hồ Chí Minh,10.76262,106.6822,2025-12-07T16:00,30.5
Hồ Chí Minh,10.76262,106.6822,2025-12-07T17:00,29.5
Hồ Chí Minh,10.76262,106.6822,2025-12-07T18:00,27.7
Hồ Chí Minh,10.76262,106.6822,2025-12-07T19:00,26.3
Hồ Chí Minh,10.76262,106.6822,2025-12-07T20:00,25.2
Hồ Chí Minh,10.76262,106.6822,2025-12-07T21:00,24.8
Hồ Chí Minh,10.76262,106.6822,2025-12-07T22:00,24.5
Hồ Chí Minh,10.76262,106.6822,2025-12-07T23:00,24.0
Hồ Chí Minh,10.76262,106.6822,2025-12-08T00:00,23.6
Hồ Chí Minh,10.76262,106.6822,2025-12-08T01:00,23.2
Hồ Chí Minh,10.76262,106.6822,2025-12-08T02:00,22.7
Hồ Chí Minh,10.76262,106.6822,2025-12-08T03:00,22.1
Hồ Chí Minh,10.76262,106.6822,2025-12-08T04:00,20.9
Hồ Chí Minh,10.76262,106.6822,2025-12-08T05:00,20.0
Hồ Chí Minh,10.76262,106.6822,2025-12-08T06:00,19.3
Hồ Chí Minh,10.76262,106.6822,2025-12-08T07:00,19.6
Hồ Chí Minh,10.76262,106.6822,2025-12-08T08:00,21.7
Hồ Chí Minh,10.76262,106.6822,2025-12-08T09:00,23.9
Hồ Chí Minh,10.76262,106.6822,2025-12-08T10:00,26.1
Hồ Chí Minh,10.76262,106.6822,2025-12-08T11:00,27.9
Hồ Chí Minh,10.76262,106.6822,2025-12-08T12:00,29.2
Hồ Chí Minh,10.76262,106.6822,2025-12-08T13:00,30.0
Hồ Chí Minh,10.76262,106.6822,2025-12-08T14:00,30.5
Hồ Chí Minh,10.76262,106.6822,2025-12-08T15:00,30.7
Hồ Chí Minh,10.76262,106.6822,2025-12-08T16:00,30.3
Hồ Chí Minh,10.76262,106.6822,2025-12-08T17:00,29.6
Hồ Chí Minh,10.76262,106.6822,2025-12-08T18:00,27.8
Hồ Chí Minh,10.76262,106.6822,2025-12-08T19:00,26.3
Hồ Chí Minh,10.76262,106.6822,2025-12-08T20:00,26.0
Hồ Chí Minh,10.76262,106.6822,2025-12-08T21:00,25.8
Hồ Chí Minh,10.76262,106.6822,2025-12-08T22:00,24.8
Hồ Chí Minh,10.76262,106.6822,2025-12-08T23:00,24.0
Hồ Chí Minh,10.76262,106.6822,2025-12-09T00:00,23.1
Hồ Chí Minh,10.76262,106.6822,2025-12-09T01:00,22.7
Hồ Chí Minh,10.76262,106.6822,2025-12-09T02:00,22.3
Hồ Chí Minh,10.76262,106.6822,2025-12-09T03:00,22.0
Hồ Chí Minh,10.76262,106.6822,2025-12-09T04:00,21.5
Hồ Chí Minh,10.76262,106.6822,2025-12-09T05:00,21.2
Hồ Chí Minh,10.76262,106.6822,2025-12-09T06:00,20.9
Hồ Chí Minh,10.76262,106.6822,2025-12-09T07:00,21.5
Hồ Chí Minh,10.76262,106.6822,2025-12-09T08:00,23.2
Hồ Chí Minh,10.76262,106.6822,2025-12-09T09:00,25.2
Hồ Chí Minh,10.76262,106.6822,2025-12-09T10:00,26.9
Hồ Chí Minh,10.76262,106.6822,2025-12-09T11:00,28.0
Hồ Chí Minh,10.76262,106.6822,2025-12-09T12:00,29.2
Hồ Chí Minh,10.76262,106.6822,2025-12-09T13:00,29.9
Hồ Chí Minh,10.76262,106.6822,2025-12-09T14:00,30.1
Hồ Chí Minh,10.76262,106.6822,2025-12-09T15:00,30.3
Hồ Chí Minh,10.76262,106.6822,2025-12-09T16:00,30.1
Hồ Chí Minh,10.76262,106.6822,2025-12-09T17:00,29.0
Hồ Chí Minh,10.76262,106.6822,2025-12-09T18:00,27.6
Hồ Chí Minh,10.76262,106.6822,2025-12-09T19:00,26.9
Hồ Chí Minh,10.76262,106.6822,2025-12-09T20:00,26.3
Hồ Chí Minh,10.76262,106.6822,2025-12-09T21:00,25.7
Hồ Chí Minh,10.76262,106.6822,2025-12-09T22:00,25.1
Hồ Chí Minh,10.76262,106.6822,2025-12-09T23:00,24.8
Hồ Chí Minh,10.76262,106.6822,2025-12-10T00:00,24.5
Hồ Chí Minh,10.76262,106.6822,2025-12-10T01:00,24.3
Hồ Chí Minh,10.76262,106.6822,2025-12-10T02:00,24.1
Hồ Chí Minh,10.76262,106.6822,2025-12-10T03:00,23.8
Hồ Chí Minh,10.76262,106.6822,2025-12-10T04:00,23.6
Hồ Chí Minh,10.76262,106.6822,2025-12-10T05:00,23.5
Hồ Chí Minh,10.76262,106.6822,2025-12-10T06:00,23.3
Hồ Chí Minh,10.76262,106.6822,2025-12-10T07:00,23.5
Hồ Chí Minh,10.76262,106.6822,2025-12-10T08:00,24.6
Hồ Chí Minh,10.76262,106.6822,2025-12-10T09:00,25.7
Hồ Chí Minh,10.76262,106.6822,2025-12-10T10:00,26.8
Hồ Chí Minh,10.76262,106.6822,2025-12-10T11:00,28.1
Hồ Chí Minh,10.76262,106.6822,2025-12-10T12:00,28.7
Hồ Chí Minh,10.76262,106.6822,2025-12-10T13:00,29.4
Hồ Chí Minh,10.76262,106.6822,2025-12-10T14:00,29.6
Hồ Chí Minh,10.76262,106.6822,2025-12-10T15:00,29.7
Hồ Chí Minh,10.76262,106.6822,2025-12-10T16:00,29.5
Hồ Chí Minh,10.76262,106.6822,2025-12-10T17:00,28.7
Hồ Chí Minh,10.76262,106.6822,2025-12-10T18:00,27.5
Hồ Chí Minh,10.76262,106.6822,2025-12-10T19:00,26.7
Hồ Chí Minh,10.76262,106.6822,2025-12-10T20:00,26.2
Hồ Chí Minh,10.76262,106.6822,2025-12-10T21:00,25.8
Hồ Chí Minh,10.76262,106.6822,2025-12-10T22:00,25.4
Hồ Chí Minh,10.76262,106.6822,2025-12-10T23:00,25.0
Hồ Chí Minh,10.76262,106.6822,2025-12-11T00:00,24.7
Hồ Chí Minh,10.76262,106.6822,2025-12-11T01:00,24.4
Hồ Chí Minh,10.76262,106.6822,2025-12-11T02:00,24.1
Hồ Chí Minh,10.76262,106.6822,2025-12-11T03:00,23.9
Hồ Chí Minh,10.76262,106.6822,2025-12-11T04:00,23.8
Hồ Chí Minh,10.76262,106.6822,2025-12-11T05:00,23.6
Hồ Chí Minh,10.76262,106.6822,2025-12-11T06:00,23.6
Hồ Chí Minh,10.76262,106.6822,2025-12-11T07:00,23.9
Hồ Chí Minh,10.76262,106.6822,2025-12-11T08:00,24.9
Hồ Chí Minh,10.76262,106.6822,2025-12-11T09:00,26.2
Hồ Chí Minh,10.76262,106.6822,2025-12-11T10:00,27.3
Hồ Chí Minh,10.76262,106.6822,2025-12-11T11:00,28.1
Hồ Chí Minh,10.76262,106.6822,2025-12-11T12:00,28.8
Hồ Chí Minh,10.76262,106.6822,2025-12-11T13:00,29.2
Hồ Chí Minh,10.76262,106.6822,2025-12-11T14:00,29.3
Hồ Chí Minh,10.76262,106.6822,2025-12-11T15:00,29.2
Hồ Chí Minh,10.76262,106.6822,2025-12-11T16:00,28.9
Hồ Chí Minh,10.76262,106.6822,2025-12-11T17:00,28.2
Hồ Chí Minh,10.76262,106.6822,2025-12-11T18:00,27.2
Hồ Chí Minh,10.76262,106.6822,2025-12-11T19:00,26.4
Hồ Chí Minh,10.76262,106.6822,2025-12-11T20:00,25.8
Hồ Chí Minh,10.76262,106.6822,2025-12-11T21:00,25.3
Hồ Chí Minh,10.76262,106.6822,2025-12-11T22:00,24.9
Hồ Chí Minh,10.76262,106.6822,2025-12-11T23:00,24.6
Hồ Chí Minh,10.76262,106.6822,2025-12-12T00:00,24.3
Hồ Chí Minh,10.76262,106.6822,2025-12-12T01:00,24.1
Hồ Chí Minh,10.76262,106.6822,2025-12-12T02:00,24.0
Hồ Chí Minh,10.76262,106.6822,2025-12-12T03:00,23.9
Hồ Chí Minh,10.76262,106.6822,2025-12-12T04:00,23.9
Hồ Chí Minh,10.76262,106.6822,2025-12-12T05:00,23.9
Hồ Chí Minh,10.76262,106.6822,2025-12-12T06:00,24.1
Hồ Chí Minh,10.76262,106.6822,2025-12-12T07:00,24.5
Hồ Chí Minh,10.76262,106.6822,2025-12-12T08:00,25.4
Hồ Chí Minh,10.76262,106.6822,2025-12-12T09:00,26.6
Hồ Chí Minh,10.76262,106.6822,2025-12-12T10:00,27.9
Hồ Chí Minh,10.76262,106.6822,2025-12-12T11:00,29.2
Hồ Chí Minh,10.76262,106.6822,2025-12-12T12:00,30.5
Hồ Chí Minh,10.76262,106.6822,2025-12-12T13:00,31.4
Hồ Chí Minh,10.76262,106.6822,2025-12-12T14:00,31.0
Hồ Chí Minh,10.76262,106.6822,2025-12-12T15:00,30.7
Hồ Chí Minh,10.76262,106.6822,2025-12-12T16:00,30.2
Hồ Chí Minh,10.76262,106.6822,2025-12-12T17:00,29.2
Hồ Chí Minh,10.76262,106.6822,2025-12-12T18:00,28.0
Hồ Chí Minh,10.76262,106.6822,2025-12-12T19:00,26.9
Hồ Chí Minh,10.76262,106.6822,2025-12-12T20:00,26.2
Hồ Chí Minh,10.76262,106.6822,2025-12-12T21:00,25.6
Hồ Chí Minh,10.76262,106.6822,2025-12-12T22:00,25.2
Hồ Chí Minh,10.76262,106.6822,2025-12-12T23:00,24.9
Hồ Chí Minh,10.76262,106.6822,2025-12-13T00:00,24.8
Hồ Chí Minh,10.76262,106.6822,2025-12-13T01:00,24.7
Hồ Chí Minh,10.76262,106.6822,2025-12-13T02:00,24.4
Hồ Chí Minh,10.76262,106.6822,2025-12-13T03:00,24.1
Hồ Chí Minh,10.76262,106.6822,2025-12-13T04:00,23.9
Hồ Chí Minh,10.76262,106.6822,2025-12-13T05:00,23.7
Hồ Chí Minh,10.76262,106.6822,2025-12-13T06:00,23.6
Hồ Chí Minh,10.76262,106.6822,2025-12-13T07:00,24.1
Hồ Chí Minh,10.76262,106.6822,2025-12-13T08:00,25.6
Hồ Chí Minh,10.76262,106.6822,2025-12-13T09:00,27.6
Hồ Chí Minh,10.76262,106.6822,2025-12-13T10:00,29.4
Hồ Chí Minh,10.76262,106.6822,2025-12-13T11:00,30.5
Hồ Chí Minh,10.76262,106.6822,2025-12-13T12:00,31.4
Hồ Chí Minh,10.76262,106.6822,2025-12-13T13:00,31.9
Hồ Chí Minh,10.76262,106.6822,2025-12-13T14:00,32.1
Hồ Chí Minh,10.76262,106.6822,2025-12-13T15:00,31.9
Hồ Chí Minh,10.76262,106.6822,2025-12-13T16:00,31.3
Hồ Chí Minh,10.76262,106.6822,2025-12-13T17:00,30.2
Hồ Chí Minh,10.76262,106.6822,2025-12-13T18:00,28.7
Hồ Chí Minh,10.76262,106.6822,2025-12-13T19:00,27.4
Hồ Chí Minh,10.76262,106.6822,2025-12-13T20:00,26.6
Hồ Chí Minh,10.76262,106.6822,2025-12-13T21:00,26.0
Hồ Chí Minh,10.76262,106.6822,2025-12-13T22:00,25.5
Hồ Chí Minh,10.76262,106.6822,2025-12-13T23:00,25.1
