id,symbol,name,current_price,market_cap,price_change_24h,price_change_pct_24h,total_volume,last_updated
bitcoin,btc,Bitcoin,89385,1783550662359,-141.67191092827125,-0.15825,22214420661,2025-12-07T09:18:12.982Z
ethereum,eth,Ethereum,3037.03,366507074693,10.42,0.34415,10090840059,2025-12-07T09:18:12.716Z
tether,usdt,Tether,1.0,185672488528,-8.545370087321e-06,-0.00085,38626126914,2025-12-07T09:18:13.770Z
binancecoin,bnb,BNB,890.62,122677078152,7.34,0.83106,980069543,2025-12-07T09:18:12.389Z
ripple,xrp,XRP,2.03,122618185169,0.00917902,0.45322,1748427457,2025-12-07T09:18:12.252Z
usd-coin,usdc,USDC,0.999801,78119543745,1.332e-05,0.00133,2029991768,2025-12-07T09:18:14.266Z
solana,sol,Solana,132.01,73994979189,-0.4136598255542765,-0.31238,2285215101,2025-12-07T09:18:12.849Z
tron,trx,TRON,0.285216,27022704997,-0.003171230875352815,-1.09964,528840703,2025-12-07T09:18:13.797Z
staked-ether,steth,Lido Staked Ether,3036.89,26329562312,16.35,0.54138,18545518,2025-12-07T09:18:12.476Z
dogecoin,doge,Dogecoin,0.139383,22520065334,0.0003736,0.26876,567420458,2025-12-07T09:18:17.964Z
cardano,ada,Cardano,0.418301,15327340807,0.00601184,1.45816,382308437,2025-12-07T09:18:17.687Z
figure-heloc,figr_heloc,Figure Heloc,1.029,14469471306,-0.009022000000000086,-0.86951,96951,2025-12-07T04:25:25.590Z
whitebit,wbt,WhiteBIT Coin,60.52,12946264539,0.03936061,0.06507,47393535,2025-12-07T09:18:14.130Z
wrapped-steth,wsteth,Wrapped stETH,3709.7,12326144207,15.94,0.43163,23412078,2025-12-07T09:18:14.383Z
bitcoin-cash,bch,Bitcoin Cash,590.95,11818886010,15.08,2.61816,308780173,2025-12-07T09:18:16.299Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,89278,11141675124,-95.34532567211136,-0.10668,71744604,2025-12-07T09:18:14.604Z
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3295.54,10753648401,12.25,0.37311,2045576,2025-12-07T09:18:14.417Z
chainlink,link,Chainlink,13.85,9651345410,0.211804,1.55287,430028684,2025-12-07T09:18:17.213Z
usds,usds,USDS,0.999655,9502733075,-2.870204151062e-05,-0.00287,12101685,2025-12-07T09:18:13.688Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.0,8985976246,0.00018525,0.01853,891866708,2025-12-07T09:18:16.713Z
leo-token,leo,LEO Token,9.64,8890588223,0.066582,0.69554,343664,2025-12-07T09:18:19.850Z
weth,weth,WETH,3038.62,8473512320,11.14,0.36786,73070556,2025-12-07T09:18:14.771Z
hyperliquid,hype,Hyperliquid,29.69,8060638637,-1.1187893645821703,-3.63158,150929200,2025-12-07T09:18:19.355Z
stellar,xlm,Stellar,0.241151,7793871624,0.00245073,1.0267,70447572,2025-12-07T09:18:12.800Z
wrapped-eeth,weeth,Wrapped eETH,3290.06,7747262356,14.63,0.44651,12829684,2025-12-07T09:18:14.441Z
monero,xmr,Monero,384.89,7107575983,-11.237339894551212,-2.83681,101608854,2025-12-07T09:18:20.761Z
ethena-usde,usde,Ethena USDe,0.999453,6704718442,-0.000115208619067109,-0.01153,78762685,2025-12-07T09:18:18.077Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,89389,6481440841,-115.4679767065245,-0.12901,156946081,2025-12-07T09:18:17.906Z
litecoin,ltc,Litecoin,82.03,6294716212,1.71,2.1244,358410051,2025-12-07T09:18:20.325Z
sui,sui,Sui,1.57,5887048273,0.04343134,2.83657,554068663,2025-12-07T09:18:13.036Z
avalanche-2,avax,Avalanche,13.39,5749341292,0.162886,1.23153,270121932,2025-12-07T09:18:15.904Z
hedera-hashgraph,hbar,Hedera,0.134182,5704853554,0.00126676,0.95305,90269456,2025-12-07T09:18:19.075Z
zcash,zec,Zcash,336.87,5552736110,-12.204828623597109,-3.49632,631656720,2025-12-07T09:18:14.840Z
shiba-inu,shib,Shiba Inu,8.44e-06,4973418592,9.0462e-08,1.08333,101170148,2025-12-07T09:18:12.496Z
dai,dai,Dai,0.999392,4335805732,-6.7662128444113e-05,-0.00677,57747715,2025-12-07T09:18:17.455Z
susds,susds,sUSDS,1.081,4217729548,0.00304472,0.28233,4072744,2025-12-07T09:18:12.843Z
world-liberty-financial,wlfi,World Liberty Financial,0.148211,4038615693,-0.000706279946901006,-0.47428,67434181,2025-12-07T09:18:14.408Z
usdt0,usdt0,USDT0,1.0,3953042451,-2.5774354042607e-05,-0.00258,113817361,2025-12-07T09:18:14.162Z
the-open-network,ton,Toncoin,1.58,3866505221,-0.007752544576066001,-0.48822,64390876,2025-12-07T09:18:13.584Z
crypto-com-chain,cro,Cronos,0.103304,3859501029,-0.000785085637125302,-0.75425,10868535,2025-12-07T09:18:17.304Z
paypal-usd,pyusd,PayPal USD,0.999803,3845556345,-0.000133785198021652,-0.01338,48749946,2025-12-07T09:18:10.873Z
ethena-staked-usde,susde,Ethena Staked USDe,1.21,3667307282,0.00024993,0.0207,25201108,2025-12-07T09:18:17.983Z
uniswap,uni,Uniswap,5.57,3508166297,0.083606,1.52474,183159007,2025-12-07T09:18:13.925Z
polkadot,dot,Polkadot,2.12,3488598280,0.02601131,1.24039,129882750,2025-12-07T09:18:11.209Z
mantle,mnt,Mantle,1.072,3485981153,-0.000334297415633511,-0.03118,61475255,2025-12-07T09:18:20.314Z
aave,aave,Aave,189.12,2871119162,6.19,3.38409,168354558,2025-12-07T09:18:15.305Z
usd1-wlfi,usd1,USD1,0.999388,2725421563,0.00031744,0.03177,199892818,2025-12-07T09:18:13.947Z
bittensor,tao,Bittensor,282.25,2708729417,4.35,1.56694,68184286,2025-12-07T09:18:16.202Z
bitget-token,bgb,Bitget Token,3.54,2475530088,0.04322021,1.23723,47317771,2025-12-07T09:18:18.274Z
okb,okb,OKB,107.33,2252210076,2.75,2.63116,34178646,2025-12-07T09:18:10.458Z
canton-network,cc,Canton,0.062478,2238885138,0.00093158,1.51363,17248712,2025-12-07T09:18:16.504Z
tether-gold,xaut,Tether Gold,4210.06,2188449725,-0.7302389683845831,-0.01734,211494982,2025-12-07T09:18:13.184Z
near,near,NEAR Protocol,1.71,2187708582,0.00814328,0.47957,139589986,2025-12-07T09:18:10.242Z
falcon-finance,usdf,Falcon USD,0.99866,2185153084,0.00033275,0.03333,329466,2025-12-07T09:18:18.116Z
memecore,m,MemeCore,1.27,2177498437,-0.057096216918100406,-4.29316,12336192,2025-12-07T09:18:20.319Z
ethereum-classic,etc,Ethereum Classic,13.24,2048753372,0.04771129,0.3618,41531193,2025-12-07T09:18:18.143Z
aster-2,aster,Aster,0.965712,2030050099,-0.026613576911381887,-2.68194,154496435,2025-12-07T09:18:15.650Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2028557862,0.0,0.0,0.0,2025-12-07T09:15:05.770Z
ethena,ena,Ethena,0.258705,1991977560,0.00113731,0.44156,132008342,2025-12-07T09:18:18.079Z
pepe,pepe,Pepe,4.48e-06,1883305101,1.12877e-07,2.58643,217831392,2025-12-07T09:18:11.013Z
internet-computer,icp,Internet Computer,3.46,1874560841,-0.03709940169799353,-1.06055,48125021,2025-12-07T09:18:19.518Z
jito-staked-sol,jitosol,Jito Staked SOL,164.56,1866214717,-0.464889216712038,-0.28171,8879558,2025-12-07T09:18:19.544Z
pi-network,pi,Pi Network,0.22232,1854148159,-0.00432972233030407,-1.91032,10888962,2025-12-07T09:18:10.996Z
binance-peg-weth,weth,Binance-Peg WETH,3036.97,1837689036,10.41,0.34409,27327076,2025-12-07T09:18:16.398Z
rain,rain,Rain,0.00758849,1807666735,0.00014542,1.95376,23654771,2025-12-07T09:18:11.444Z
pump-fun,pump,Pump.fun,0.0029622,1747696536,5.184e-05,1.78121,110588916,2025-12-07T09:18:17.898Z
wrapped-solana,sol,Wrapped SOL,132.14,1675284025,-0.30617635186135317,-0.23116,409650494,2025-12-07T09:18:15.026Z
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,4.63,1674885337,-0.000709480772549398,-0.01533,11474031,2025-12-07T09:18:19.600Z
htx-dao,htx,HTX DAO,1.65e-06,1535802071,-1.6375263573e-08,-0.98209,10448618,2025-12-07T09:18:19.041Z
syrupusdc,syrupusdc,syrupUSDC,1.14,1486348466,0.000291,0.02552,3525704,2025-12-07T09:18:12.950Z
