id,title,description,price,price_million,area_m2,price_per_m2,region,district,ward,street,lat,lng,property_type,category,post_time,images_count,crawled_at
118669186,"Chính chủ bán toà nhà mặt phố Cao Bá Quát, DT 420.5m2, MT 15m, xây 6 t","Bán nhà mặt phố Cao Bá Quát, Ba Đình, Hà Nội.

Diện tích 420.5m², mặt tiền rộng 15m, nở hậu, xây 6 tầng, 1 hầm để được nhiều xe, đã có đầy đủ giấy phép xây dựng, hoàn công. Nhà 4 mặt thoáng, sân vườn rộng rãi, cây cảnh, Bonsai rất đẹp, thẩm mỹ cao.

Vị trí đẹp, giao thông thuận tiện, trung tâm quận Ba Đình, tiện ở, xây tòa building, khách sạn... Cách Lăng Bác Hồ 500m, gần trường, chợ, siêu thị.

Gần các tuyến đường như Nguyễn Thái Học, nhà vỉa hè rộng, nằm gần vườn Hoa Lê Nin, Lăng Bác, Văn Miếu, bảo tàng Mỹ Thuật, bệnh viện Xanh Pôn, Hồ Tây, bờ hồ... Không gian xung quanh thoáng mát trong lành.

Giá bán 530 tỷ, có thỏa thuận, sổ đỏ chính chủ,",530000000000,530000.0,74,7162162162.162162,Hà Nội,Quận Ba Đình,Phường Điện Biên,Phố Cao Bá Quát,21.029974,105.84007,,1020,1765110082000,,2025-12-07T13:08:30.489844+00:00
89575049,"Biệt thự mặt phố Nguyễn Gia Thiều, dt 535m2, mt 20","1. Cần bán biệt thự 3 tầng mặt phố Nguyễn Gia Thiều, DT 535m2, MT 20m, vuông vắn, hướng Nam, biệt thự rất đẹp, đẳng cấp, giá bán 654 tr/m2 = 350 tỷ, một sổ đỏ chính chủ.

2. Mặt phố Nguyễn Gia Thiều, vị trí đẹp đắc địa nhất phố. 
Sổ đỏ 83m2 chỉ 1 sổ, mặt tiền 9m. 
Hiện đang cho thuê nhà hàng. 
Giá bán 60 tỷ. 

3. Bán gấp nhà mặt phố Trần Hưng Đạo đoạn ngã 4 Bà Triệu - Quang Trung đẹp nhất phố. 
- Diện tích mặt bằng 1300m2, xây 2 tầng. 
- Mặt tiền 30m, căn góc, 3 mặt tiền, 1 chủ, 1 sổ đỏ chính chủ. Tiện xây tòa Văn phòng hoặc khách sạn 5 sao. 
Giá bán 860 tỷ. 

4. Bán nhà mặt phố Nguyễn Du, DT 394m2, MT 21.5m x 19m, lô góc, cạnh hồ Thiền Quang có bầy thiên nga rất đẹp, tiện xây dựng tòa nhà khách sạn, văn phòng, nhà để ở, cho thuê kinh doanh,... Hoặc sửa lại làm một căn biệt thự lô góc đẳng cấp nhất khu vực trung tâm Hà Nội. 
Giá bán: 394 tỷ, có thương lượng, một sổ đỏ chính chủ. 

5. Cần bán gấp nhà mặt phố Chân Cầm, Phường Hàng Trống, Quận Hoàn Kiếm, Hà Nội. 
DTSĐ 530m2, MT 12m, nở hậu. 
Nhà hiện đang cho thuê giá cao. 
Thích hợp làm khách sạn, nhà hàng. 
Một SĐCC. 
Giá bán 295 tỷ. 

6. Biệt thự mặt phố Ngô Thì Nhậm, dt 210m2, mt 8m, xây 5 tầng bên trong, bên ngoài 2 tầng, giá 100 tỷ.

* Chuyên nhận ký gửi mua bán, cho thuê nhà đất mặt phố trung tâm Hà Nội, săn tìm bất động sản theo nhu cầu, tiêu chí của quý khách hàng. Đảm bảo nhiệt tình, chuyên nghiệp, bảo mật.",350000000000,350000.0,73,4794520547.945206,Hà Nội,Quận Hoàn Kiếm,Phường Trần Hưng Đạo,Đường Nguyễn Gia Thiều,21.022963,105.847374,,1020,1765111882000,,2025-12-07T13:08:30.489844+00:00
129535429,Bán nhà 170 Đ. La Thành để định cư nước ngoài,"Tòa Nhà văn phòng, số 14 ngõ 170 Đê La Thành ( đường đi vào chung cư GP invest), diện tích 320m2, đầy đủ giấy phép xây dựng
8 tầng 1 hầm, 2 sổ ghép, sổ lâu dài
đã và đang Khai thác cho thuê xấp xỉ hai tỷ/năm (BCTC năm 2024)
đường xá thuận tiện, văn minh đông đúc
nhà trung tâm, không dính quy hoạch, không vướng bận khác
khách hàng có thiện chí liên hệ *** ông Quân ( không gọi vào đêm) và không chào sàn môi giới
Không có thời gian đàm phán lên xuống, nên các bác cứ thích qua xem, được thì ta chốt . không được thì k làm mất thời gian lẫn nhau. xin cảm ơn",145000000000,145000.0,75,1933333333.3333333,Hà Nội,Quận Đống Đa,Phường Ô Chợ Dừa,La Thành,21.02099,105.82782,,1020,1765101224000,,2025-12-07T13:08:30.489844+00:00
112559810,"Toà nhà mặt phố Lò Đúc, dt 230m2, mt 37m, lô góc, 8 tầng","Bán gấp tòa nhà 8 tầng thang máy mặt phố Lò Đúc, dt 230m2, lô góc 2 mặt Phố mặt tiền 37m, nở hậu, hiện đang cho 1 bên cty vận hành thuê 237tr/th, giá bán 125 tỷ, 1 sổ đỏ chính chủ đã hoàn công,",125000000000,125000.0,76,1644736842.1052632,Hà Nội,Quận Hai Bà Trưng,Phường Phạm Đình Hổ,Phố Lò Đúc,21.0161,105.8561,,1020,1765110985000,,2025-12-07T13:08:30.489844+00:00
129516298,SIÊU PHẨM TRIỆU ĐÔ–DT GẦN 200M² + KHÁCH SẠN 8 TẦNG VIEW HỒ VĂN CHƯƠNG,"💎 Viên ngọc quý hiếm giữa lòng Thủ Đô – chỉ dành cho chủ nhân xứng tầm.

✨ ĐỘC TÔN – KHÔNG CÓ PHIÊN BẢN THỨ HAI

🌊 Mặt hồ đẹp nhất khu vực – view mở vĩnh viễn, phong thuỷ thượng đỉnh “tụ thuỷ – tụ tài”
🏞 Vị trí kim cương – thế đất vượng khí, địa linh nhân kiệt, phù hợp đại gia muốn sở hữu tài sản truyền đời
🏰 Khách sạn 8 tầng – thiết kế sang trọng, tiêu chuẩn cao cấp, kinh doanh full mô hình cao lợi nhuận
Thang máy xin của NHẬT BẢN
🏛 Mặt tiền rộng bậc nhất hồ – hiếm tới mức nhiều năm không xuất hiện căn tương tự
📐 155m² đất vàng ngay sát mặt hồ – giá trị tăng theo thời gian, càng giữ càng giàu

💼 Tài sản siêu cấp dành cho nhà đầu tư tài chính mạnh:
• Kinh doanh khách sạn – căn hộ dịch vụ – mô hình F&B cao cấp
• Hoặc giữ tài sản như “mỏ vàng lâu dài” – giá trị đất hồ chỉ đi lên
• Phù hợp khách muốn đầu tư giai đoạn 2025–2030 khi trung tâm Hà Nội tái quy hoạch:

➡ Vừa cho thuê – vừa tăng giá mạnh
➡ Vừa giữ tài sản – vừa khẳng định vị thế

🔐 Sổ cất két – giao dịch chuẩn chỉnh – sang tên trong ngày
📞 Mr. Trọng Quý – ***
👉 Liên hệ ngay để sở hữu siêu phẩm vài chục năm mới xuất hiện một lần! 🚀",115000000000,115000.0,75,1533333333.3333333,Hà Nội,Quận Đống Đa,Phường Quốc Tử Giám,hồ văn chương,21.027256,105.8327,,1030,1765097341400,,2025-12-07T13:08:30.489844+00:00
129532396,"Bán nhà mặt phố KĐT Đền Lừ, 85m2, 6 tầng, thang máy, kinh doanh đỉnh","1 MẶT PHỐ 1 MẶT NGÕ Ô TÔ TRÁNH NHAU _ 6 TẦNG _ THANG MÁY _ KINH DOANH_ VIEW HỒ 

- Vị trí đắc địa, khu vực sầm uất, kinh doanh tấp lập ngày đêm.

- Thiết kế: 

+ Tầng 1,2 Mặt phố cho thuê , thang máy, thang bộ, wc giữa - Mặt ngõ sau để xe ô tô quay đầu.

+ Tầng 2  1 Phòng - Bếp  WC. Tầng 3  1Phòng khách 1 ngủ  Tầng 4  : 2 ngủ Wc Tầng 5 Thờ  -  sân phơi  Tâng 6:  1  phòng rộng.

- Sổ đỏ  chính chủ",64900000000,64900.0,80,811250000.0,Hà Nội,Quận Hoàng Mai,Phường Hoàng Văn Thụ,Đền Lừ,20.98437,105.86084,,1020,1765092486000,,2025-12-07T13:08:30.489844+00:00
129515825,NHÀ PHỐ 2 MẶT TIỀN–ĐỈNH CAO TRÊN TRỤC KIM CƯƠNG-VIỆT KIỀU CHÂU ÂU,"✨ Không dành cho số đông – chỉ dành cho người muốn sở hữu điều ***.

💼 Gia đình chuẩn bị định cư Úc – chuyển giao lại cơ ngơi hiếm có khó tìm.

💎 ĐẲNG CẤP KHÁC BIỆT – XỨNG TẦM GIA CHỦ
• 2 mặt phố *** tại Nguyễn Văn Lộc – vị trí mà giới đầu tư đánh giá “ngang tầm tài sản truyền đời”
• Một mặt hướng trục chính 20m – nơi các thương hiệu lớn săn tìm mặt bằng
• Một mặt hướng công viên – thoáng, xanh, sang – đúng chuẩn phong thủy của giới thượng lưu
• Khu Làng Việt Kiều Châu Âu – cộng đồng cư dân tinh hoa, tiêu chuẩn sống đẳng cấp

🏙 KIẾN TẠO GIÁ TRỊ – SINH LỜI BỀN VỮNG
• Nhà phố 2 mặt tiền – tài sản gần như không xuất hiện trên thị trường
• Dòng tiền hiện tại năm mươi TR/THÁNG từ thương hiệu lớn BẾP DIÊM PHỐ
• Chủ mới có thể nâng cấp mô hình kinh doanh sang phân khúc cao cấp:
→ Spa – clinic – showroom thời trang – văn phòng đại diện
→ Hoặc mô hình F&B premium tạo dấu ấn riêng
• Vị trí đẹp nhất cung đường Nguyễn Văn Lộc – “ngã ba vàng” sinh tài lộc

💰 TÀI SẢN GIÀNH CHO GIỚI TINH HOA:
• Hiếm – Đẹp – Sang – Khó lặp lại
• Một trong những mặt bằng sinh lời mạnh nhất khu Làng Việt Kiều
• Mua hôm nay là sở hữu ngôi nhà tăng giá theo từng năm, từng biến động thị trường

📞 Mr. Trọng Quý – ***
👉 Dành cho khách thực sự có nhu cầu – muốn xem tận nơi để cảm nhận sự “khác biệt” của siêu phẩm này.",52000000000,52000.0,86,604651162.7906977,Hà Nội,Quận Hà Đông,Phường Mộ Lao,Phố Nguyễn Văn Lộc,20.981995,105.78992,,1030,1765090683468,,2025-12-07T13:08:30.489844+00:00
128229828,"Bán biệt thự Phú Lương Quận Hà Đông 500m, ngay vườn hồng, giá Đầu tư","CẬP NHẬT QUĨ CĂN BIỆT THỰ PHÚ LƯƠNG_ BIỆT THỰ QUẬN HÀ ĐÔNG _ GIÁ ***
 *  Biệt thự Mặt Hồ 220m, MT 10m, giá 39 tỷ 9
_ Biệt thự ngay hồ, hoàn thiện thang máy, sang xịn, nhỉnh 40 tỷ
 _ Biệt thự Vườn hồng. 240m, mt 12m, nhỉnh 40 tỷ
_ Biệt thự 200m, hoàn thiện tâm huyết, nhỉnh 30 tỷ
_ Biệt thự mặt đường đôi, trục toà lâu đài 49.9 tỷ
_ Biệt thự mặt vườn hoa,trung tâm thương mại, đường 18m giá 180triệu/ m2
_ Cặp biệt thự đơn lập Phú Lương 660m, giá 179triệu/m2
_ Biệt thự 235m, mt12.5m thô

 * Em có nhiều vị trí đẹp, nhà thô và hoàn thiện. Nhiều vị trí khác nhau: vườn hoa, trung tâm thương mại, mặt hồ, ngay công viên 100ha Văn Phú
 * Giao thông thuận tiện, nối các tuyến đường Quang Trung, đường Văn Khê, đường Lê Trọng Tấn. Hàng xóm khu đô thị Văn Phú, với nhiều biệt thự Văn Phú sang đẹp.
 * Biệt thự Phú Lương là một trong những biệt thự Hà Đông đáng để đầu tư sinh lời cao

* Pháp lý: chuẩn giao dịch ngay

Liên hệ Em Oanh *** chuyên bán biệt thự Hà Đông, bán biệt thự Quận Hà Đông 200m2 đến 500m2",39900000000,39900.0,86,463953488.372093,Hà Nội,Quận Hà Đông,Phường Phú Lương,Kiến Hưng,20.94998,105.76996,,1020,1765112669000,,2025-12-07T13:08:30.489844+00:00
129531733,Bán Biệt Thự Vạn Phúc Hà Đông S165m 4T Mt 11m Giá 38.6 Tỷ,"🏡BIỆT THỰ ĐẲNG CẤP - AN SINH ĐỊNH CƯ VÍP - Ô TÔ DỪNG ĐỖ NGÀY ĐÊM - KINH DOANH VĂN PHÒNG KHÁCH SẠN. 

+ Tiểu KĐT Vạn Phúc  Hà Đồng nằm trên trục Lê Văn Lương - Tố Hữu - Him Lam Vạn Phúc - Trường Quốc Tế Nhật Bản - Công Viên Thiên Văn Học - Aeone Hà Đông.. 

+ Thiết kế: 

- Tầng 1 : Sân, phòng khách, 1 phòng ngủ, bếp, WC.
- Tầng 2: 2 Phòng ngủ, WC, 1 phòng sinh hoạt chung.
- Tầng 3: 3 Phòng ngủ, WC, 1 phòng sinh hoạt chung.
- Tầng 4 : 3 Phòng ngủ, Wc

+ Sổ đỏ vuông đét, chính chủ, sẵn sàng giao dịch.

🏡 📕Sổ vuông đẹp",38666000000,38666.0,86,449604651.1627907,Hà Nội,Quận Hà Đông,Phường Vạn Phúc,Phố Tố Hữu,20.982592,105.77044,,1020,1765090597000,,2025-12-07T13:08:30.489844+00:00
129534914,Bán nhà liền kề (LK15) Khu Đô Thị Mới An Hưng,"Bán nhà liền kề (LK15) Khu Đô Thị Mới An Hưng
Địa chỉ: Khu Đô Thị Mới An Hưng, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội
Giá bán: 35,5 tỷ
*Vị trí:
+ Nằm trong quần thể các Khu đô thị lớn Văn Khê, An Hưng, Khu A Nam cường.. Bao quanh gần 20 tòa Chung cư như Usilk City, Văn Khê, Pride Hải phát, Anland 1, 2 The Charm.. mật độ dân cư đông đúc, full tiện ích, kinh doanh buôn bán tấp lập ngày đêm.
+ Đường trước nhà siêu rộng, vỉa hè lớn. Giao thông vô cùng thuận lợi, sát bên là các trục đường lớn Thanh Bình - Tố Hữu, Lê Quang Đạo, Vành đai 3 Lê Trọng Tấn, Đường 70 Vạn phúc, Quang Trung - Ql 6.. 3 phút đi bộ là ra trạm Bus BRT kết nối vào Trung tâm TP.
*Thiết kế:
+ Diện tích 103m², mặt tiền 5m xây 4 tầng BTCT chắc chắn. gồm 4 phòng ngủ, 4wc.
+ Hướng đẹp, sinh khí
+ Nhà phù hợp làm văn phòng, kinh doanh,...
+ Dòng tiền cho thuê hàng tháng cao. Nhà hiện đang cho thuê kinh doanh quán ăn.
*Pháp lý:
+ Sổ đỏ sử dụng lâu dài
+ Tiềm năng tăng giá cao
Chị tiết xin liên hệ em Mạnh",35500000000,35500.0,86,412790697.6744186,Hà Nội,Quận Hà Đông,Phường La Khê,Đường Tố Hữu,20.972412,105.76153,,1020,1765099762000,,2025-12-07T13:08:30.489844+00:00
