time,temperature_c
2026-01-03T00:00:00.000+07:00,13.7
2026-01-03T01:00:00.000+07:00,13.9
2026-01-03T02:00:00.000+07:00,14.4
2026-01-03T03:00:00.000+07:00,15.1
2026-01-03T04:00:00.000+07:00,15.9
2026-01-03T05:00:00.000+07:00,16.4
2026-01-03T06:00:00.000+07:00,17.0
2026-01-03T07:00:00.000+07:00,17.1
2026-01-03T08:00:00.000+07:00,17.3
2026-01-03T09:00:00.000+07:00,17.2
2026-01-03T10:00:00.000+07:00,17.0
2026-01-03T11:00:00.000+07:00,16.7
2026-01-03T12:00:00.000+07:00,16.4
2026-01-03T13:00:00.000+07:00,16.3
2026-01-03T14:00:00.000+07:00,16.2
2026-01-03T15:00:00.000+07:00,16.2
2026-01-03T16:00:00.000+07:00,15.9
2026-01-03T17:00:00.000+07:00,15.5
2026-01-03T18:00:00.000+07:00,15.1
2026-01-03T19:00:00.000+07:00,14.9
2026-01-03T20:00:00.000+07:00,14.6
2026-01-03T21:00:00.000+07:00,14.4
2026-01-03T22:00:00.000+07:00,14.3
2026-01-03T23:00:00.000+07:00,14.1
2026-01-04T00:00:00.000+07:00,14.0
2026-01-04T01:00:00.000+07:00,14.8
2026-01-04T02:00:00.000+07:00,16.3
2026-01-04T03:00:00.000+07:00,18.1
2026-01-04T04:00:00.000+07:00,19.8
2026-01-04T05:00:00.000+07:00,20.7
2026-01-04T06:00:00.000+07:00,21.1
2026-01-04T07:00:00.000+07:00,20.8
2026-01-04T08:00:00.000+07:00,21.2
2026-01-04T09:00:00.000+07:00,21.4
2026-01-04T10:00:00.000+07:00,20.8
2026-01-04T11:00:00.000+07:00,19.8
2026-01-04T12:00:00.000+07:00,18.7
2026-01-04T13:00:00.000+07:00,18.2
2026-01-04T14:00:00.000+07:00,18.0
2026-01-04T15:00:00.000+07:00,17.7
2026-01-04T16:00:00.000+07:00,17.6
2026-01-04T17:00:00.000+07:00,17.3
2026-01-04T18:00:00.000+07:00,17.3
2026-01-04T19:00:00.000+07:00,17.3
2026-01-04T20:00:00.000+07:00,17.2
2026-01-04T21:00:00.000+07:00,17.1
2026-01-04T22:00:00.000+07:00,17.0
2026-01-04T23:00:00.000+07:00,17.0
2026-01-05T00:00:00.000+07:00,17.0
2026-01-05T01:00:00.000+07:00,17.3
2026-01-05T02:00:00.000+07:00,17.9
2026-01-05T03:00:00.000+07:00,18.6
2026-01-05T04:00:00.000+07:00,19.7
2026-01-05T05:00:00.000+07:00,20.6
2026-01-05T06:00:00.000+07:00,21.1
2026-01-05T07:00:00.000+07:00,21.4
2026-01-05T08:00:00.000+07:00,21.7
2026-01-05T09:00:00.000+07:00,21.4
2026-01-05T10:00:00.000+07:00,20.3
2026-01-05T11:00:00.000+07:00,18.9
2026-01-05T12:00:00.000+07:00,18.0
2026-01-05T13:00:00.000+07:00,17.3
2026-01-05T14:00:00.000+07:00,16.9
2026-01-05T15:00:00.000+07:00,16.5
2026-01-05T16:00:00.000+07:00,16.2
2026-01-05T17:00:00.000+07:00,16.0
2026-01-05T18:00:00.000+07:00,15.7
2026-01-05T19:00:00.000+07:00,15.5
2026-01-05T20:00:00.000+07:00,15.2
2026-01-05T21:00:00.000+07:00,14.9
2026-01-05T22:00:00.000+07:00,14.8
2026-01-05T23:00:00.000+07:00,14.7
2026-01-06T00:00:00.000+07:00,14.5
2026-01-06T01:00:00.000+07:00,14.6
2026-01-06T02:00:00.000+07:00,14.9
2026-01-06T03:00:00.000+07:00,15.0
2026-01-06T04:00:00.000+07:00,15.2
2026-01-06T05:00:00.000+07:00,15.5
2026-01-06T06:00:00.000+07:00,15.7
2026-01-06T07:00:00.000+07:00,15.5
2026-01-06T08:00:00.000+07:00,15.2
2026-01-06T09:00:00.000+07:00,14.8
2026-01-06T10:00:00.000+07:00,14.4
2026-01-06T11:00:00.000+07:00,14.0
2026-01-06T12:00:00.000+07:00,13.6
2026-01-06T13:00:00.000+07:00,13.4
2026-01-06T14:00:00.000+07:00,13.3
2026-01-06T15:00:00.000+07:00,13.2
2026-01-06T16:00:00.000+07:00,13.2
2026-01-06T17:00:00.000+07:00,13.2
2026-01-06T18:00:00.000+07:00,13.2
2026-01-06T19:00:00.000+07:00,13.1
2026-01-06T20:00:00.000+07:00,12.9
2026-01-06T21:00:00.000+07:00,12.7
2026-01-06T22:00:00.000+07:00,12.3
2026-01-06T23:00:00.000+07:00,11.9
2026-01-07T00:00:00.000+07:00,12.1
2026-01-07T01:00:00.000+07:00,13.3
2026-01-07T02:00:00.000+07:00,15.1
2026-01-07T03:00:00.000+07:00,16.7
2026-01-07T04:00:00.000+07:00,17.7
2026-01-07T05:00:00.000+07:00,18.4
2026-01-07T06:00:00.000+07:00,18.8
2026-01-07T07:00:00.000+07:00,19.1
2026-01-07T08:00:00.000+07:00,19.1
2026-01-07T09:00:00.000+07:00,18.7
2026-01-07T10:00:00.000+07:00,17.9
2026-01-07T11:00:00.000+07:00,16.8
2026-01-07T12:00:00.000+07:00,15.8
2026-01-07T13:00:00.000+07:00,15.1
2026-01-07T14:00:00.000+07:00,14.6
2026-01-07T15:00:00.000+07:00,14.1
2026-01-07T16:00:00.000+07:00,13.8
2026-01-07T17:00:00.000+07:00,13.5
2026-01-07T18:00:00.000+07:00,13.2
2026-01-07T19:00:00.000+07:00,12.6
2026-01-07T20:00:00.000+07:00,12.0
2026-01-07T21:00:00.000+07:00,11.5
2026-01-07T22:00:00.000+07:00,11.0
2026-01-07T23:00:00.000+07:00,10.6
2026-01-08T00:00:00.000+07:00,10.9
2026-01-08T01:00:00.000+07:00,12.6
2026-01-08T02:00:00.000+07:00,15.1
2026-01-08T03:00:00.000+07:00,17.1
2026-01-08T04:00:00.000+07:00,18.3
2026-01-08T05:00:00.000+07:00,19.1
2026-01-08T06:00:00.000+07:00,19.6
2026-01-08T07:00:00.000+07:00,19.9
2026-01-08T08:00:00.000+07:00,19.9
2026-01-08T09:00:00.000+07:00,19.5
2026-01-08T10:00:00.000+07:00,18.7
2026-01-08T11:00:00.000+07:00,17.5
2026-01-08T12:00:00.000+07:00,16.4
